Epoch 219: Loss=0.4681, Accuracy=74.1213, Precision=0.7424, F1=0.7396
Epoch 220: Loss=0.4684, Accuracy=74.2123, Precision=0.7440, F1=0.7406
Epoch 221: Loss=0.4674, Accuracy=74.1222, Precision=0.7419, F1=0.7385
Epoch 222: Loss=0.4683, Accuracy=74.1999, Precision=0.7444, F1=0.7407
Epoch 223: Loss=0.4665, Accuracy=74.1261, Precision=0.7434, F1=0.7401
Epoch 224: Loss=0.4691, Accuracy=74.0983, Precision=0.7427, F1=0.7388
Epoch 225: Loss=0.4663, Accuracy=74.2191, Precision=0.7446, F1=0.7406
Epoch 226: Loss=0.4647, Accuracy=74.4510, Precision=0.7451, F1=0.7434
Epoch 227: Loss=0.4633, Accuracy=74.4290, Precision=0.7466, F1=0.7425
Epoch 228: Loss=0.4627, Accuracy=74.5143, Precision=0.7461, F1=0.7437
Epoch 229: Loss=0.4649, Accuracy=74.1453, Precision=0.7426, F1=0.7395
Epoch 230: Loss=0.4634, Accuracy=74.3830, Precision=0.7452, F1=0.7424
Epoch 231: Loss=0.4622, Accuracy=74.3954, Precision=0.7444, F1=0.7417
Epoch 232: Loss=0.4616, Accuracy=74.4817, Precision=0.7466, F1=0.7430
Epoch 233: Loss=0.4624, Accuracy=74.3667, Precision=0.7440, F1=0.7417
Epoch 234: Loss=0.4636, Accuracy=74.3542, Precision=0.7455, F1=0.7414
Epoch 235: Loss=0.4612, Accuracy=74.4740, Precision=0.7457, F1=0.7435
Epoch 236: Loss=0.4652, Accuracy=74.5306, Precision=0.7464, F1=0.7437
Epoch 237: Loss=0.4639, Accuracy=74.3456, Precision=0.7444, F1=0.7412
Epoch 238: Loss=0.4628, Accuracy=74.2699, Precision=0.7427, F1=0.7408
Epoch 239: Loss=0.4616, Accuracy=74.3724, Precision=0.7460, F1=0.7409
Epoch 240: Loss=0.4630, Accuracy=74.4299, Precision=0.7456, F1=0.7427
Epoch 241: Loss=0.4622, Accuracy=74.4711, Precision=0.7430, F1=0.7422
Epoch 242: Loss=0.4616, Accuracy=74.3638, Precision=0.7473, F1=0.7418
Epoch 243: Loss=0.4613, Accuracy=74.4970, Precision=0.7456, F1=0.7432
Epoch 244: Loss=0.4620, Accuracy=74.3983, Precision=0.7462, F1=0.7418
Epoch 245: Loss=0.4589, Accuracy=74.6149, Precision=0.7458, F1=0.7439
Epoch 246: Loss=0.4580, Accuracy=74.4673, Precision=0.7457, F1=0.7428
Epoch 247: Loss=0.4621, Accuracy=74.4309, Precision=0.7452, F1=0.7419
Epoch 248: Loss=0.4596, Accuracy=74.4759, Precision=0.7461, F1=0.7435
